Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
ATG9B,Autophagy Related 9B,Protein Coding,Q674R7,42,GC07M151012,24.52967644,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG9B
EPG5,Ectopic P-Granules 5 Autophagy Tethering Factor,Protein Coding,Q9HCE0,45,GC18M045800,24.37552452,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPG5
ATG2B,Autophagy Related 2B,Protein Coding,Q96BY7,42,GC14M115293,23.04915619,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG2B
ULK2,Unc-51 Like Autophagy Activating Kinase 2,Protein Coding,Q8IYT8,48,GC17M059736,22.84598732,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK2
MAP1LC3B,Microtubule Associated Protein 1 Light Chain 3 Beta,Protein Coding,Q9GZQ8,48,GC16P087384,22.80163574,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3B
DRAM1,DNA Damage Regulated Autophagy Modulator 1,Protein Coding,Q8N682,37,GC12P101877,21.67444611,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRAM1
DRAM2,DNA Damage Regulated Autophagy Modulator 2,Protein Coding,Q6UX65,44,GC01M111117,21.46209717,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRAM2
ATG16L2,Autophagy Related 16 Like 2,Protein Coding,Q8NAA4,42,GC11P072814,21.35107422,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L2
NBR1,NBR1 Autophagy Cargo Receptor,Protein Coding,Q14596,45,GC17P043170,21.07240677,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBR1
MAP1LC3A,Microtubule Associated Protein 1 Light Chain 3 Alpha,Protein Coding,Q9H492,47,GC20P034546,20.83882141,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3A
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,P42345,62,GC01M011106,20.6723423,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR
ATG101,Autophagy Related 101,Protein Coding,Q9BSB4,42,GC12P052151,20.57091713,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG101
ATG2A,Autophagy Related 2A,Protein Coding,Q2TAZ0,45,GC11M109199,20.24947929,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG2A
PIK3C3,Phosphatidylinositol 3-Kinase Catalytic Subunit Type 3,Protein Coding,Q8NEB9,56,GC18P041955,18.78829765,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3C3
LAMP2,Lysosomal Associated Membrane Protein 2,Protein Coding,P13473,51,GC0XM120426,18.31928825,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP2
RUBCN,Rubicon Autophagy Regulator,Protein Coding,Q92622,46,GC03M198663,18.27758026,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUBCN
RUBCNL,Rubicon Like Autophagy Enhancer,Protein Coding,Q9H714,41,GC13M046343,17.64443588,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUBCNL
SOGA1,"Suppressor Of Glucose, Autophagy Associated 1",Protein Coding,O94964,41,GC20M036777,17.52409172,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOGA1
BCL2,BCL2 Apoptosis Regulator,Protein Coding,P10415,58,GC18M063123,17.1679039,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
MAP1LC3C,Microtubule Associated Protein 1 Light Chain 3 Gamma,Protein Coding,Q9BXW4,36,GC01M241995,15.58692265,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3C
RB1CC1,RB1 Inducible Coiled-Coil 1,Protein Coding,Q8TDY2,50,GC08M052622,15.35245895,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1CC1
GABARAP,GABA Type A Receptor-Associated Protein,Protein Coding,O95166,49,GC17M007240,14.72451019,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAP
ELAPOR1,Endosome-Lysosome Associated Apoptosis And Autophagy Regulator 1,Protein Coding,Q6UXG2,43,GC01P109225,14.64531708,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAPOR1
EI24,EI24 Autophagy Associated Transmembrane Protein,Protein Coding,O14681,42,GC11P125570,14.62454796,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EI24
DEPP1,DEPP Autophagy Regulator 1,Protein Coding,Q9NTK1,37,GC10M044989,14.60569,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEPP1
FYCO1,FYVE And Coiled-Coil Domain Autophagy Adaptor 1,Protein Coding,Q9BQS8,46,GC03M045917,13.76413727,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYCO1
GABARAPL2,GABA Type A Receptor Associated Protein Like 2,Protein Coding,P60520,48,GC16P075566,13.43098831,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAPL2
HMGB1,High Mobility Group Box 1,Protein Coding,P09429,55,GC13M030456,13.23349476,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1
GABARAPL1,GABA Type A Receptor Associated Protein Like 1,Protein Coding,Q9H0R8,47,GC12P010212,13.06447029,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAPL1
UVRAG,UV Radiation Resistance Associated,Protein Coding,Q9P2Y5,48,GC11P075815,12.55592346,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UVRAG
TFEB,Transcription Factor EB,Protein Coding,P19484,49,GC06M081126,12.22528648,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFEB
PIK3R4,Phosphoinositide-3-Kinase Regulatory Subunit 4,Protein Coding,Q99570,52,GC03M130678,12.17109203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R4
TP53,Tumor Protein P53,Protein Coding,P04637,60,GC17M007661,11.6568203,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
ATG12P1,Autophagy Related 12 Pseudogene 1,Pseudogene,,9,GC17M073067,11.63652325,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG12P1
WIPI1,"WD Repeat Domain, Phosphoinositide Interacting 1",Protein Coding,Q5MNZ9,46,GC17M068420,11.61001492,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WIPI1
ELAPOR2,Endosome-Lysosome Associated Apoptosis And Autophagy Regulator Family Member 2,Protein Coding,A8MWY0,40,GC07M086877,11.51955986,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAPOR2
VCP,Valosin Containing Protein,Protein Coding,P55072,56,GC09M035056,11.49656868,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP
WIPI2,"WD Repeat Domain, Phosphoinositide Interacting 2",Protein Coding,Q9Y4P8,48,GC07P005190,11.19954205,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WIPI2
C9orf72,C9orf72-SMCR8 Complex Subunit,Protein Coding,Q96LT7,47,GC09M028870,11.15180969,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C9orf72
ATG3P1,Autophagy Related 3 Pseudogene 1,Pseudogene,,8,GC20M039328,11.07153702,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG3P1
OPTN,Optineurin,Protein Coding,Q96CV9,50,GC10P013099,11.01493645,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPTN
HDAC6,Histone Deacetylase 6,Protein Coding,Q9UBN7,60,GC0XP048801,10.93192196,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC6
MIR7-3HG,MIR7-3 Host Gene,RNA Gene,Q8N6C7,29,GC19P006171,10.90448093,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR7-3HG
TBK1,TANK Binding Kinase 1,Protein Coding,Q9UHD2,56,GC12P064451,10.73823166,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBK1
PRKAA1,Protein Kinase AMP-Activated Catalytic Subunit Alpha 1,Protein Coding,Q13131,53,GC05M040759,10.7073288,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA1
ATG12P2,Autophagy Related 12 Pseudogene 2,Pseudogene,,9,GC02M222901,10.59022141,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG12P2
ATG4AP1,Autophagy Related 4A Cysteine Peptidase Pseudogene 1,Pseudogene,,6,GC0XP082998,10.01929092,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG4AP1
VMP1,Vacuole Membrane Protein 1,Protein Coding,Q96GC9,42,GC17P059707,9.98415947,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VMP1
CALCOCO2,Calcium Binding And Coiled-Coil Domain 2,Protein Coding,Q13137,45,GC17P078578,9.852716446,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCOCO2
AKT1,AKT Serine/Threonine Kinase 1,Protein Coding,P31749,60,GC14M104769,9.620931625,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1
SIRT1,Sirtuin 1,Protein Coding,Q96EB6,56,GC10P067884,9.546811104,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1
TECPR2,Tectonin Beta-Propeller Repeat Containing 2,Protein Coding,O15040,42,GC14P102362,9.495678902,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TECPR2
PRKN,Parkin RBR E3 Ubiquitin Protein Ligase,Protein Coding,O60260,56,GC06M161348,9.280100822,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN
LOC727709,DNA Damage Regulated Autophagy Modulator 1 Pseudogene,Pseudogene,,5,GC04P122739,9.275239944,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC727709
PRKAA2,Protein Kinase AMP-Activated Catalytic Subunit Alpha 2,Protein Coding,P54646,57,GC01P056645,9.192763329,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAA2
SCARNA5,Small Cajal Body-Specific RNA 5,RNA Gene,,22,GC02P233275,9.188892365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5
UBQLN2,Ubiquilin 2,Protein Coding,Q9UHD9,49,GC0XP056563,9.064799309,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBQLN2
IRGM,Immunity Related GTPase M,Protein Coding,A1A4Y4,42,GC05P150846,8.940332413,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRGM
SH3GLB1,"SH3 Domain Containing GRB2 Like, Endophilin B1",Protein Coding,Q9Y371,48,GC01P086704,8.889163017,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH3GLB1
WDFY3,WD Repeat And FYVE Domain Containing 3,Protein Coding,Q8IZQ1,47,GC04M084728,8.844459534,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDFY3
SOD2-OT1,SOD2 Overlapping Transcript 1,RNA Gene,,14,GC06M159772,8.734384537,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1
FOXO3,Forkhead Box O3,Protein Coding,O43524,54,GC06P108559,8.386023521,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO3
H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,,30,GC11M001995,8.355869293,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19
WDR45,WD Repeat Domain 45,Protein Coding,Q9Y484,47,GC0XM049074,8.222015381,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR45
NFE2L2,NFE2 Like BZIP Transcription Factor 2,Protein Coding,Q16236,58,GC02M177227,8.134346008,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2
KEAP1,Kelch Like ECH Associated Protein 1,Protein Coding,Q14145,56,GC19M010486,8.131322861,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KEAP1
PINK1,PTEN Induced Kinase 1,Protein Coding,Q9BXM7,53,GC01P020634,8.057644844,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1
LINC01672,Long Intergenic Non-Protein Coding RNA 1672,RNA Gene,,14,GC01P007077,7.860614777,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672
BECN2,Beclin 2,Protein Coding,A8MW95,32,GC01P241957,7.816424847,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN2
TP53INP2,Tumor Protein P53 Inducible Nuclear Protein 2,Protein Coding,Q8IXH6,40,GC20P034704,7.779758453,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53INP2
BNIP3,BCL2 Interacting Protein 3,Protein Coding,Q12983,47,GC10M131966,7.690844536,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BNIP3
HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,P11142,56,GC11M123057,7.601081848,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8
UBQLN1,Ubiquilin 1,Protein Coding,Q9UMX0,49,GC09M083659,7.583870411,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBQLN1
TP53INP1,Tumor Protein P53 Inducible Nuclear Protein 1,Protein Coding,Q96A56,42,GC08M094925,7.569041729,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53INP1
CERNA3,Competing Endogenous LncRNA 3 For MiR-645,RNA Gene,,14,GC08P056088,7.553086758,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERNA3
UBC,Ubiquitin C,Protein Coding,P0CG48,50,GC12M124911,7.528730869,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC
BDNF-AS,BDNF Antisense RNA,RNA Gene,,24,GC11P027619,7.515080452,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS
RPTOR,Regulatory Associated Protein Of MTOR Complex 1,Protein Coding,Q8N122,49,GC17P080544,7.506005764,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPTOR
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,P49841,57,GC03M119821,7.378283501,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B
DAPK1,Death Associated Protein Kinase 1,Protein Coding,P53355,56,GC09P087497,7.332391739,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1
LRRK2,Leucine Rich Repeat Kinase 2,Protein Coding,Q5S007,56,GC12P040196,7.301090717,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2
HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,P07900,58,GC14M102080,7.25283432,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1
PARK7,Parkinsonism Associated Deglycase,Protein Coding,Q99497,54,GC01P008210,7.21987009,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARK7
CISD2,CDGSH Iron Sulfur Domain 2,Protein Coding,Q8N5K1,48,GC04P102868,7.212878227,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CISD2
TMEM59,Transmembrane Protein 59,Protein Coding,Q9BXS4,47,GC01M054031,7.122166157,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM59
TAX1BP1,Tax1 Binding Protein 1,Protein Coding,Q86VP1,47,GC07P027739,7.099852085,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAX1BP1
NRBF2,Nuclear Receptor Binding Factor 2,Protein Coding,Q96F24,43,GC10P063133,7.018212318,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRBF2
SNCA,Synuclein Alpha,Protein Coding,P37840,58,GC04M089724,6.971739292,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCA
TMX2-CTNND1,TMX2-CTNND1 Readthrough (NMD Candidate),RNA Gene,,18,GC11P057712,6.962005138,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMX2-CTNND1
WDR41,WD Repeat Domain 41,Protein Coding,Q9HAD4,41,GC05M077425,6.92869854,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR41
MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,RNA Gene,,27,GC11P072906,6.882917881,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1
TARDBP,TAR DNA Binding Protein,Protein Coding,Q13148,54,GC01P011013,6.840192795,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARDBP
TUFM,"Tu Translation Elongation Factor, Mitochondrial",Protein Coding,P49411,51,GC16M040701,6.807518959,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUFM
MFN2,Mitofusin 2,Protein Coding,O95140,55,GC01P011980,6.72777462,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2
RAB7A,"RAB7A, Member RAS Oncogene Family",Protein Coding,P51149,56,GC03P136158,6.681903362,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB7A
MTMR14,Myotubularin Related Protein 14,Protein Coding,Q8NCE2,50,GC03P009649,6.661931038,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR14
LAMP1,Lysosomal Associated Membrane Protein 1,Protein Coding,P11279,50,GC13P113297,6.565012932,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP1
CASP3,Caspase 3,Protein Coding,P42574,56,GC04M184627,6.526075363,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3
HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,Q16665,55,GC14P061695,6.498988628,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A
GAA,Alpha Glucosidase,Protein Coding,P10253,56,GC17P080101,6.487348557,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA
BCL2L1,BCL2 Like 1,Protein Coding,Q07817,54,GC20M031664,6.436448097,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1
MEG3,Maternally Expressed 3,RNA Gene,,31,GC14P112719,6.317324638,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,P40763,61,GC17M042313,6.296214104,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
FUS,FUS RNA Binding Protein,Protein Coding,P35637,51,GC16P031180,6.268190384,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FUS
MAPK8,Mitogen-Activated Protein Kinase 8,Protein Coding,P45983,56,GC10P048306,6.219608307,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8
NOD2,Nucleotide Binding Oligomerization Domain Containing 2,Protein Coding,Q9HC29,54,GC16P050693,6.164894104,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2
TRAF6,TNF Receptor Associated Factor 6,Protein Coding,Q9Y4K3,53,GC11M036467,6.160503864,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF6
EMSLR,E2F1 MRNA Stabilizing LncRNA,RNA Gene,,16,GC07P102243,6.115570545,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMSLR
UBQLN4,Ubiquilin 4,Protein Coding,Q9NRR5,46,GC01M156113,6.110775948,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBQLN4
USP10,Ubiquitin Specific Peptidase 10,Protein Coding,Q14694,50,GC16P084702,6.10460186,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP10
ULK3,Unc-51 Like Kinase 3,Protein Coding,Q6PHR2,47,GC15M074836,6.099451065,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK3
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,Q16539,57,GC06P104232,6.082188606,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
SMCR8,SMCR8-C9orf72 Complex Subunit,Protein Coding,Q8TEV9,38,GC17P076040,6.078471184,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMCR8
CHMP2B,Charged Multivesicular Body Protein 2B,Protein Coding,Q9UQN3,50,GC03P087227,6.011882782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP2B
HDAC10,Histone Deacetylase 10,Protein Coding,Q969S8,50,GC22M050245,6.000899315,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC10
TECPR1,Tectonin Beta-Propeller Repeat Containing 1,Protein Coding,Q7Z6L1,41,GC07M098214,6.000750542,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TECPR1
ZKSCAN3,Zinc Finger With KRAB And SCAN Domains 3,Protein Coding,Q9BRR0,40,GC06P028349,5.995090008,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZKSCAN3
TGFB1,Transforming Growth Factor Beta 1,Protein Coding,P01137,60,GC19M041301,5.971260548,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
PTEN,Phosphatase And Tensin Homolog,Protein Coding,P60484,58,GC10P098516,5.947368622,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
STING1,Stimulator Of Interferon Response CGAMP Interactor 1,Protein Coding,Q86WV6,48,GC05M139483,5.907281876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1
MAPK1,Mitogen-Activated Protein Kinase 1,Protein Coding,P28482,60,GC22M021759,5.859922886,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1
STX17,Syntaxin 17,Protein Coding,P56962,41,GC09P099906,5.807153702,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX17
SOD1,Superoxide Dismutase 1,Protein Coding,P00441,60,GC21P031659,5.773800373,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD1
TBC1D5,TBC1 Domain Family Member 5,Protein Coding,Q92609,44,GC03M017157,5.753676414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D5
TRIM27,Tripartite Motif Containing 27,Protein Coding,P14373,47,GC06M028903,5.60708952,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM27
TSC2,TSC Complex Subunit 2,Protein Coding,P49815,57,GC16P045943,5.602134705,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2
MIR493HG,MIR493 Cluster Host Gene,RNA Gene,,14,GC14P112754,5.598010063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR493HG
ENSG00000276919,,RNA Gene,,10,GC14P112169,5.598010063,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENSG00000276919
SIRT2,Sirtuin 2,Protein Coding,Q8IXJ6,54,GC19M038878,5.594663143,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT2
CTSD,Cathepsin D,Protein Coding,P07339,60,GC11M001752,5.574270248,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSD
RAB8A,"RAB8A, Member RAS Oncogene Family",Protein Coding,P61006,46,GC19P016111,5.565049648,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB8A
GAS5,Growth Arrest Specific 5,RNA Gene,,26,GC01M173947,5.545414925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAS5
STK11,Serine/Threonine Kinase 11,Protein Coding,Q15831,57,GC19P001177,5.515537262,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11
ENDOG,Endonuclease G,Protein Coding,Q14249,49,GC09P128818,5.478718758,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENDOG
HTT,Huntingtin,Protein Coding,P42858,50,GC04P003041,5.444014072,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTT
IL6,Interleukin 6,Protein Coding,P05231,58,GC07P022725,5.441328049,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
CASP8,Caspase 8,Protein Coding,Q14790,59,GC02P201233,5.435998917,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,P09874,57,GC01M226360,5.425272465,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1
WDR45B,WD Repeat Domain 45B,Protein Coding,Q5MNZ6,45,GC17M082614,5.42391777,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR45B
RPS6KB1,Ribosomal Protein S6 Kinase B1,Protein Coding,P23443,56,GC17P059893,5.407640457,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1
MCL1,"MCL1 Apoptosis Regulator, BCL2 Family Member",Protein Coding,Q07820,54,GC01M155854,5.396433353,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCL1
BAG3,BAG Cochaperone 3,Protein Coding,O95817,49,GC10P119651,5.392466545,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3
VAMP8,Vesicle Associated Membrane Protein 8,Protein Coding,Q9BV40,48,GC02P085561,5.387681961,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP8
HDAC1,Histone Deacetylase 1,Protein Coding,Q13547,57,GC01P032292,5.387177467,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
EVA1A,"Eva-1 Homolog A, Regulator Of Programmed Cell Death",Protein Coding,Q9H8M9,42,GC02M075469,5.374285698,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EVA1A
PFN1,Profilin 1,Protein Coding,P07737,53,GC17M004945,5.312479973,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFN1
